iter	RMSE
0	0.167890418
1	0.1629155178
2	0.1583690471
3	0.1534568352
4	0.1489090762
5	0.1441299053
6	0.1397946971
7	0.1364332135
8	0.1329403488
9	0.1296255273
10	0.1258834045
11	0.122252087
12	0.1190440153
13	0.1161335821
14	0.113503597
15	0.110458264
16	0.1079708978
17	0.1055597561
18	0.1028070102
19	0.100421174
20	0.09823010832
21	0.09645705579
22	0.09447797639
23	0.09292937725
24	0.09106301671
25	0.08948933558
26	0.08777899477
27	0.08654910372
28	0.08499649263
29	0.08367477771
30	0.0818240189
31	0.08053413284
32	0.07898326625
33	0.07751719043
34	0.07624960022
35	0.07511878868
36	0.07395195507
37	0.07317935128
38	0.07210567031
39	0.07113513859
40	0.07037023541
41	0.06960770399
42	0.06880483316
43	0.06810315878
44	0.06737327102
45	0.06653492939
46	0.065779963
47	0.06513316498
48	0.06445216326
49	0.063824743
50	0.06324936788
51	0.06255652907
52	0.06198227947
53	0.06159097591
54	0.06119074909
55	0.06072718534
56	0.06018299566
57	0.05966543177
58	0.05927260004
59	0.0588135066
60	0.05831719291
61	0.05794760493
62	0.05754035641
63	0.05713996607
64	0.05679086297
65	0.05641548563
66	0.05604963981
67	0.05576401431
68	0.05548789868
69	0.05516850752
70	0.05488542395
71	0.05463114176
72	0.05435362632
73	0.05414381591
74	0.05391768739
75	0.05369128154
76	0.0533891565
77	0.05304185722
78	0.05284563003
79	0.05260336529
80	0.05244873687
81	0.05218525866
82	0.05192508147
83	0.05161210042
84	0.05138610796
85	0.05119293903
86	0.05099450703
87	0.05078079759
88	0.05060870416
89	0.05045900716
90	0.05028331758
91	0.05003242232
92	0.04992076802
93	0.04981559616
94	0.04963753035
95	0.04947759153
96	0.0492763747
97	0.04908599357
98	0.04893076512
99	0.04874563208
100	0.04861523827
101	0.04842799662
102	0.04825739748
103	0.04806146011
104	0.04788577757
105	0.04772686396
106	0.04754971676
107	0.04740314372
108	0.04730646739
109	0.04717799571
110	0.04699167817
111	0.04682602402
112	0.04666401646
113	0.04652948638
114	0.04643284903
115	0.04624480598
116	0.04615605762
117	0.04607822542
118	0.04599706376
119	0.04592842977
120	0.04580864129
121	0.0456331497
122	0.04556092762
123	0.04541343441
124	0.04531280331
125	0.04517161035
126	0.04509568135
127	0.04502478954
128	0.04492627395
129	0.04486812175
130	0.04471938798
131	0.04463689587
132	0.0445408919
133	0.04447675518
134	0.04440173039
135	0.04427023406
136	0.04416380834
137	0.04404088418
138	0.04393467866
139	0.04385772731
140	0.04373598269
141	0.04366379551
142	0.04356165401
143	0.04343302533
144	0.04335255304
145	0.04324825226
146	0.04318310724
147	0.04311280231
148	0.04303065515
149	0.04293377635
150	0.04281188818
151	0.04275752322
152	0.04263931564
153	0.04255868569
154	0.0425125125
155	0.04243179623
156	0.04237751474
157	0.04229731954
158	0.04218101166
159	0.04210052621
160	0.04204698331
161	0.04197736877
162	0.04191800749
163	0.04175968539
164	0.04167889894
165	0.04156223853
166	0.04144366075
167	0.04136882855
168	0.04128761969
169	0.04119068112
170	0.04105341424
171	0.04095041176
172	0.04086504021
173	0.04078600547
174	0.04068040201
175	0.04060162123
176	0.04049131494
177	0.0404445724
178	0.04033768646
179	0.04027091824
180	0.04015362371
181	0.04005531453
182	0.03995498684
183	0.03989072203
184	0.03980289875
185	0.03973988954
186	0.03966790182
187	0.03957395588
188	0.03945331442
189	0.03938170955
190	0.03931083923
191	0.03923333535
192	0.03910767621
193	0.03894427419
194	0.03887200461
195	0.03877464356
196	0.03868737909
197	0.03853337374
198	0.03842861473
199	0.03834418004
200	0.0382827553
201	0.03822235137
202	0.03814993779
203	0.03806048879
204	0.03797441162
205	0.03788622177
206	0.03779486024
207	0.03768086353
208	0.03756369489
209	0.03749107631
210	0.03741675385
211	0.03732676755
212	0.03723719012
213	0.03712220033
214	0.03705479199
215	0.03696593512
216	0.03688166564
217	0.03681713168
218	0.03675260451
219	0.03668757699
220	0.03658358643
221	0.03651021195
222	0.03642514552
223	0.03632611924
224	0.03621086099
225	0.03613696192
226	0.03608453669
227	0.03601679573
228	0.03595119012
229	0.03586884929
230	0.03578318463
231	0.03574196448
232	0.03565333811
233	0.03558548545
234	0.0355007304
235	0.03540699151
236	0.03531818684
237	0.03524805551
238	0.03515235941
239	0.03507887108
240	0.03502912368
241	0.03494531542
242	0.03485025992
243	0.03480392385
244	0.03473768156
245	0.03467856955
246	0.03460313193
247	0.03452994936
248	0.03446667274
249	0.03441622654
250	0.03434413581
251	0.03430518492
252	0.03424033958
253	0.03417110562
254	0.03411096191
255	0.03405133531
256	0.03398751531
257	0.03389332033
258	0.03382215607
259	0.03377331809
260	0.03370641124
261	0.03364873941
262	0.03361265797
263	0.03356913151
264	0.03349662589
265	0.03345834249
266	0.03339804062
267	0.03333696624
268	0.03329182852
269	0.03324248292
270	0.03318199168
271	0.03309649019
272	0.03299724778
273	0.0329413598
274	0.03287937822
275	0.03280914361
276	0.03275098262
277	0.03270029448
278	0.03264039477
279	0.03259645953
280	0.032542045
